2024-03-19 15:17:23,281 - INFO - ur_api: Send data: movej([0, 0, 0, 0, 0, 0], a=0.5, v=0.5, t=0, r=0)
2024-06-13 16:20:33,444 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:33,444 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:33,444 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:34,496 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:34,496 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:34,496 - INFO - ur_api: Send data: movej([-0.3151739861115528, -1.7806016705128735, -1.827337136442662, -1.1052453705449, 1.6075054090309135, -2.4351084214849226], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:34,507 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7647823544772097, -1.8795357850721952, -1.0758944061073046, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:34,507 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7647823544772097, -1.8795357850721952, -1.0758944061073046, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:34,507 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7647823544772097, -1.8795357850721952, -1.0758944061073046, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:35,681 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7647823544772097, -1.8795357850721952, -1.0758944061073046, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:35,681 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7647823544772097, -1.8795357850721952, -1.0758944061073046, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:35,681 - INFO - ur_api: Send data: movej([-0.32658125779293856, -1.7647823544772097, -1.8795357850721952, -1.0758944061073046, 1.6131981054913327, -2.4293314201017973], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:35,695 - INFO - ur_api: Send data: movej([-0.2634489513889323, -1.7104628124002845, -1.9496348195325217, -1.0511866970949046, 1.6074974039767895, -2.3833485164190504], a=0.4, v=0.1, t=0, r=0)

